temperature,rainfall,soil_ph,predicted_yield
40.0,30.0,6.5,7.402908571694525
42.631578947368425,31.05263157894737,6.536842105263158,9.879971492181426
45.26315789473684,32.10526315789474,6.573684210526316,12.357034412668298
47.89473684210526,33.1578947368421,6.610526315789474,14.834097333155185
50.526315789473685,34.21052631578947,6.647368421052632,17.311160253642072
53.15789473684211,35.26315789473684,6.684210526315789,19.78822317412896
55.78947368421053,36.31578947368421,6.721052631578948,22.26528609461586
58.421052631578945,37.368421052631575,6.757894736842105,24.742349015102732
61.05263157894737,38.421052631578945,6.794736842105263,27.219411935589633
63.684210526315795,39.473684210526315,6.831578947368421,29.69647485607652
66.31578947368422,40.526315789473685,6.868421052631579,32.17353777656341
68.94736842105263,41.578947368421055,6.905263157894737,34.65060069705028
71.57894736842105,42.631578947368425,6.942105263157895,37.12766361753718
74.21052631578948,43.68421052631579,6.978947368421053,39.60472653802407
76.84210526315789,44.73684210526316,7.015789473684211,42.08178945851094
79.47368421052632,45.78947368421053,7.052631578947368,44.55885237899784
82.10526315789474,46.84210526315789,7.089473684210526,47.035915299484714
84.73684210526316,47.89473684210526,7.126315789473685,49.512978219971615
87.36842105263159,48.94736842105263,7.163157894736842,51.99004114045849
90.0,50.0,7.2,54.46710406094539
